"A lot of content was deleted by the one who uploaded it. If you have backups for any removed items, please submit them here.",,
Response,Timestamp,Write below any feedback you have.
"Cool, updated the link.",20/02/2016 18:15:30,"Anon Core 5k was updated again.

https://mega.nz/#!TF81lQKJ!NvHz4ms2whcAH3aoyGuRTPmE8n73tOVwMTQVgHdkpnw

Added readings in hiragana, reflecting Core 2k's reading format roughly (e.g. ステージ -> すてーじ, 量 -> りょう, HP -> ほーむぺーじ). Because I had to redo 400-ish of them by hand, there might be a few errors. I definitely didn't miss any, but I might have picked wrong or made a typo.

Fixed several typos in romaji readings. Fixed missing (suru) and missing (する). Fixed certain する verbs that lacked ""v."", or can function as nouns but lacked ""n."" Around 22 cards were modified.

The default format was changed to use hiragana readings."
"Nice. I'll add the EGS links when I add it to the live CoR spreadsheet. Are you going to make the romaji/English title link to vndb instead of vndb having its own column, or is it having its own column more to keep consistency with the other sheets? Would save horizontal space, but you can see everything on a 1920 wide monitor anyways so it's probably not a big deal for most people.",23/02/2016 20:37:50,"Sorted the smaller batch of VNs/games into spreadsheet format. It is on the sheet labelled ゲーム. Going to start uploading them in a little while, the sheet total value (54GB) covers everything currently on the sheet. Those are all the smallest titles: around 1GB and under. The rest I've yet to download are larger and is in total another 360.4GB. Looking to add and upload in small batches and not sure how long the rest will take after the current batch which might be fully uploaded and linked to mega within the week.
5th sheet, maintainer anons.
https://docs.google.com/spreadsheets/d/1yHFYU8E9_W7AagQzKbVchNRF6WGVPjIGCkY1TS60okY/edit?usp=sharing
Still unable to access EGS on this network, for those wiki-links.
"
"I mentioned it where ITH is mentioned in the guide for now. Also re-hosted it on a pastebin account so it can be edited down the line if it needs to for some reason without having to swap out links whenever it's updated.

http://pastebin.com/raw/DgZ84qwk",25/02/2016 22:15:02,"Setup for Mining VNs with Rikai and Anki: 
Could this short guide/setup for mining words using rikai and anki auto-import while playing VNs, be added to the main Guide in the tools section, or something? An anon has posted it a few times and a few people seem to have benefited from it. 

Here is the pastebin he wrote: 
http://pastebin.com/raw/yhDP2CwF
"
"Hey man, Kanji is a good friend of mine. There's a new guide in the process of being made, so it's not really a big deal, but there you go. Go ahead and email Seidenfisch@gmail.com about it if you want to be sure he doesn't do it in the new guide and want an update on how the new guide is going, because I'm pretty sure he doesn't actively look at this page.",26/02/2016 13:12:41,Kanji is not a proper noun and should not be capitalized.
"Cool, I added the SVG version below the regular/font version. Hopefully it'll see a decent amount of use.",28/02/2016 01:27:33,"New version of Kangxi Radicals 2016. It's v6:

https://mega.nz/#!uJsA1QwR!2z65jNf9lagIjvESUHHE-mMT3EXjfbRiBo91F9RpQwU

Uses SVGs instead of fonts to display radicals, eliminating rendering problems with the key value.

Not ideal for Android. Since Noto Sans isn't embedded, there's no way to make sure that radicals in the Notes are rendered correctly. Maybe v5 should be kept around. Fonts might also still be useful for people on desktop that want the Notes to render correctly. But I unembedded everything but the SVGs to reduce the deck's filesize a lot. It's a little complicated.

Signed, Anonymous"
"Fixed all of the broken links, thanks.

Also went through and marked all of the blank links red, so if anyone has backups for those items, feel free to upload them to mega and submit them.",01/03/2016 13:13:56,"https://docs.google.com/spreadsheets/d/10C1aeC_6bm1ZQmRk-qX3IqntCmibIyclzvMDhnDtcmY/pubhtml

It looks like these links were pasted incorrectly into the Cornucopia sheet. The hyperlinks that I tried don't include the decryption keys."
Added the links. Thanks.,02/03/2016 07:33:04,"A couple of those missing LN scans

撲殺天使ドクロちゃん
https://mega.nz/#!bU022RZD!zEUPJcWBZoo3twuXomBipxKHvjzJrNhsL4e8l1RErUY
新SWRPGリプレイ集
https://mega.nz/#!aV0nQYQJ!JlpEUzK_gmTHqqOToXq8-tvsmk9QDCXAOp824TGiKI4
皇国の守護者
https://mega.nz/#!qFVwzSoB!4fy09Q6c_Dd0cf_44ycSDkPx0ea2aX_HeU7TsEzlPI4
空ノ鐘の響く惑星で
https://mega.nz/#!eYdiVB5C!7FpfN5rgsC0wmrBkVkB-YCCoM4RczOWJ4DRauP3ejRo
魔術士オーフェン
https://mega.nz/#!TMcmgTJR!NtHPAwdQ5T5iMVzqZjiCB43XV9svkNilE3v583xFFng"
-->,02/03/2016 18:29:39,"Added a couple epub format LNs to the CoR, went through all 551 links in the 小説 sheet to see which ones were in a text format (azw3, epub, text, or pdf), and marked all of them with a light blue background. I mostly went by file size and file names, so if I missed any that you know of, feel free to submit which ones I missed (or accidentally broke) to feedback.

I also marked any dead links in the 小説 tab with a red background, so if you have backups of any of those, submit them here.

Just submitting through feedback for documentation for those who don't visit the thread often and won't see my post there."
"Awesome, thanks a lot for doing this, I appreciate it. Should make the LN tab get used a lot more now. A little feedback, but I'm not sure I like the multi column thing for demographics on the manga tab.Also, if the VN tab is still being worked on, would you rather me get edit access to add EGS links or do you want to copy back and forth? My email is lskj3rengwp2@gmail.com if you want to give edit access or reply through that instead of through feedback.",03/03/2016 07:20:34,"The 小説 sheet in the CoR backup should be up to date now with those missing links and other loose file folder links added to the main entires. 
https://docs.google.com/spreadsheets/d/1yHFYU8E9_W7AagQzKbVchNRF6WGVPjIGCkY1TS60okY/edit?usp=sharing
You're welcome to use as you see fit."
"Added, thanks.

Completely unrelated, but to the people in the threads (posting it here instead since they don't seem to be arguing about it right now and don't want to restart that):

Don't use a deck being in the CoR and another deck not being in the CoR as an argument for the deck in the CoR being better. If there's a problem generally agreed upon with one of the decks, just fix it in a way that those people agree is a good fix, upload it, submit it here provided a decent amount of people agree it's a good solution, and I can add it to the CoR. Nothing wrong with multiple formats being in the CoR.

These for example seem like good solutions to what people are complaining about (outside of the translations not having a way to display on mouseover or click on the first one):
http://desustorage.org/a/thread/138211334/#138218520
http://desustorage.org/a/thread/138211334/#138222484",04/03/2016 10:09:22,"Some manga you can add to the cor if you want.  

1年3組にゃんぱち先生
https://mega.nz/#F!uAERUIYD!1tDgEdyUQmhvcGHu5fgZqw

オパパゴト
https://mega.nz/#F!6BcmDRTC!n-McSmDy3gymZ1hof0pY8A

くまみこ
https://mega.nz/#F!fIEhBIDZ!qjzBPyyu1TYF-uVbtL_MFw

ソウルガジェットラディアント
https://mega.nz/#F!DVtClYIa!6dhzL-q3vfRXrKiIL3p0Fw"
"I think debating and discussing stuff like that is okay to an extent, my point was more that ""my format is in the CoR and yours isn't, therefore my format is better"" isn't really a valid argument when you can easily get stuff added to the CoR through here.

Hell, if it'd make people happy I could just start a pastebin next to the DoJG download in the CoR that's a collection of people's personal card layouts that are compatible with the deck, that way people can just browse through that and see which one they like best. Each one would be a link to front image, back image, and links to pastebins for the front, styling, and back of the card, and a short description if something about it requires explaining.",04/03/2016 20:20:06,"Those complaining about things in the threads have stated they don't want to use the feedback form to submit things or raise suggestions, in case you were not aware. This was brought up near the end of thread #1446, for reference. "
Started a new pastebin to collect these on and added it to the places where the DoJG deck is available. Hopefully this is a solution that can keep everyone happy.,04/03/2016 21:15:52,"http://pastebin.com/NVJPbta8

An alternate recognition layout for the DoJG deck based off of the old recognition layout."
"Added, thanks.",05/03/2016 02:17:10,"DoJG Anki Deck Layout Recognition and Cloze Templates (current layout for reference in case it changes)

http://pastebin.com/4zbeFAs8"
This template is too old and isn't compatible with the new deck.,05/03/2016 02:32:46,"DoJG Anki abridged version Card Templates

http://pastebin.com/evxMqf0W

"
Same as the other one. Too old and isn't compatible with the new deck.,05/03/2016 02:41:04,"DoJG template from the Tae Kim Optimised Order version
made a while ago:
pastebin.com/RGeQpwt9"
"Added, thanks.",05/03/2016 02:48:10,"DoJG 日本語文法辞典例文全集 Anki Deck Layout Template
http://pastebin.com/E3ABs6D8"
Also too old.,05/03/2016 03:02:20,"Original Dictionary of Japanese Grammar Series Deck:

http://pastebin.com/SFXJL5TZ"
"There's a pastebin in the CoR with the old versions of the deck, but I'll replace that link with this.
Old link for the sake of preserving it: http://pastebin.com/8UKEvMaD",05/03/2016 03:12:00,"Collection of the different DoJG decks made by CoR-kun.
https://mega.nz/#F!iQUAGTBQ!HI3OVUDWpxi-wT3WhqMsog"
"Added, thanks.",05/03/2016 09:16:28,"紅殻のパンドラ 第１～７巻
「漫画」
https://mega.nz/#F!jEcBEIRD!yppy8M2GTAcZ8Z8zStm6AA
(ﾉ･_･)‥‥…ｰｰｰｰｰｰ☆ﾋﾟ!"
"Added, thanks.",05/03/2016 11:02:28,"まほらば 第１～１２巻
「漫画」
https://mega.nz/#F!iF1VATRR!OhgiQAy9bCUXPdP6HDijMw
.....ｰｰ☆ｰｰｰ☆ｰｰ☆ｰｰ☆ﾋﾟ゛┏( >_<)┛"
"Added, thanks.",05/03/2016 12:06:18,"flatシリーズ
「漫画」
https://mega.nz/#F!bJUlRA4D!JFNDyYWJs7BqCMYeX7p9WA
ｼﾇ《X_ｘ》    ‹›('_'*)‹ ~ﾅﾆｺﾚ"
"I had to do it in a bit of a workaround way that only works on the ""ReverseSort"" tab that shows the most recent submissions at the top, but there you go.",05/03/2016 18:18:40,switch feedback date format to yyyy-mm-dd please
"Cool, thanks for doing this. Swapped out the old links with the new one.",05/03/2016 23:33:58,"I decided to upload the J-J dictionaries to MEGA since a few asked again.
If you could delete the original mediafire links I uploaded and use this
https://mega.nz/#F!UxhhlKzb!9T8-35RugwmkuZ33oTqVrQ
That would be great.
I separated everything and .7z all the dictionaries individually. I can rename any of the folders or files if need be"
"Added, thank you.",06/03/2016 05:05:00,"この世界の片隅に
「漫画」
https://mega.nz/#F!vRUSCCLL!x8INDzvQjCck_Z0hM42GCA
~~~旦ｏ（^-^ ）ﾄﾞｳｿﾞ"
Added. Thanks for submitting all of these.,06/03/2016 07:27:48,"おたくの娘さん
「漫画」
https://mega.nz/#F!HdkFwAaY!iurIgURltzei7zRAYuCltQ
( ∩_∩)_旦~ ≠（^-^ ）"
"Wrong download link for アップルシードα (you accidentally put the link for おたくの娘さん again). I'll add アップルシードα if you submit the correct link. I added 水域, though. Thanks.",06/03/2016 11:01:58,"アップルシードα
と
水域
「漫画」
https://mega.nz/#F!HdkFwAaY!iurIgURltzei7zRAYuCltQ
https://mega.nz/#F!aA9SwbYA!lxgKkUbgir0t5JRj3RHLuw
「(-_今)丿(-_無)」"
There we go. Thanks.,06/03/2016 11:53:11,"しまった！
これでどう？
https://mega.nz/#F!qAVlmBLR!NM7uT4vKCA7Y6RiodjvVgg"
"It's possible, but someone who has those levels unlocked has to rip a new deck / add those levels to the existing deck. Until someone does that (I think there are tools to make it easier to do, but not sure), the 50 in the current deck is all that's available.",06/03/2016 14:36:23,"Thanks for the COR resource list. The list is making Japanese learning a lot easier for me.

Also thanks for the Wanikani Deck. But the deck currently covers till lvl 50. Is it possible to also have a deck having lvls 51-60 from Wanikani?
"
Added. Thanks for re-uploading.,08/03/2016 19:20:49,"Here's a re-up of the Japanese Particles Workbook:

https://mega.nz/#!B5s3DIYD!k-q2lCrpEvJVQ3Xamon1h9vv0_WJUSEvSFKAweyCZHM"
Added. Thanks for re-uploading.,08/03/2016 19:33:06,"And my version has some weird lines through it but here's a copy of the Dictionary of Japanese Particles too:

https://mega.nz/#!Et0jVb6A!U-JhFC3yuYcTMluD-J53M0EHezvbAh7f3D1tqZ8gkfA"
"Pretty sure it's caused by iframe the docs are embedded in on those pages to fix sizing issues on mobile, though those sizing issues can be solved by requesting the desktop version.

If people want to test on their mobile devices to see what I mean: https://docs.google.com/spreadsheets/d/1fEplq1S5f9wyVPzgzJw3v2l54w1KuvDf9yvNPU3AbG4/pubhtml?widget=true&headers=false&chrome=false

I don't really think anything can be done outside of changing the links to go directly to the pubhtml version of the Google doc, but that would mean mobile users who can't request desktop version of the site would have to deal with everything being oversized.

I'll change the links out for now to see if it fixes the issue and I can just put the old links here for mobile users to bookmark.

http://nocozazal.co.nf/guide.html
http://nocozazal.co.nf/resources.html
http://nocozazal.co.nf/readinglist.html
http://nocozazal.co.nf/feedback.html
http://nocozazal.co.nf/offline.html
",13/03/2016 08:00:17,NoScript detects a clickjacking attempt when I try to click on the different categories on the resources page (http://nocozazal.co.nf/resources.html). Could you fix this?
"New guide should hopefully be getting wrapped up soon. Suggest it there https://docs.google.com/document/d/1H8lw5gnep7B_uZAbHLfZPWxJlzpykP5H901y6xEYVsk/edit?usp=sharing
or email Seidenfisch@gmail.com about it. Fixed it up in the current guide, though. Must've been an error caused when the guide let everyone edit it.",14/03/2016 00:29:33,"Under listening and production, Jpopsuki, in the guide:
>Sometimes you will be unable might ask for a referral either in the threads or on /mu/. If you do have someone refer you, make sure to keep a good ratio, because failing to do so could cause that person to apply for one, so if you want access, youn to lose their account (as well as yours), since all those you refer are considered to be under your responsibility.
Needs a serious rewrite."
"Added. Thanks. I added it in a bit of a weird way since I wanted to keep them together, but hopefully that's good enough. If it bugs someone enough and they want to re-upload to one folder, I'll replace them with that link.

Also added the N2 Shin Kanzen Master material.
",19/03/2016 01:48:48,"Found a bunch of new scans for shin kanzen master n1

http://yuki-nezumi.blogspot.sg/search/label/%E3%83%BBN1%20%281kyu%20|%201%E7%B4%9A%29"
"Given it's only the basic volume, I'm not really sure where the best place for it right now would be. Maybe next to the DoJG scan downloads in the CoR? Anyways, re-upload this to a folder on mega and link the folder here so you can update it / add the other volumes without me having to update the links every time.

Edit: If you want an ""online"" version added to the main site that can be viewed without having to download the file like with your link (as opposed to having to download it to view it with mega links), then a non-mega site is fine too, but I'd rather wait until this is done with the other 2 volumes to put it on the main page.",21/03/2016 20:14:31,"I managed to turn the DOBJG into a searchable, bookmarked PDF with both English and weeb runes searchable. You need to install Adobe language shit but it works. I'd like this to be added to the OP as well.

https://a.pomf.cat/xvrwar.pdf"
"Added some stuff to the bottom of the Anki startup pastebin. I'm a bit hesitant to add stuff to it that's largely opinionated, but hopefully it's clear that it's mostly opinions and personal preference and that it's just there to let them know that it's something people do. We'll see how it goes. If there's more stuff that should be added or changed, let me know.",23/03/2016 12:22:43,"Can you add a paragraph somewhere about modifying Anki's default settings, such as removing the review limit, not interspersing new cards with reviews, the kanji grid add-on, and disabling learn-ahead? I was using Anki with the default settings for months and it really impeded my progress. It's fine if you don't want to be too opinionated on how people should be using Anki, but you should at least give an overview of what the settings are and what the pros and cons are of modifying them."
"If someone uploads them to mega I'll add them. Applies to anything that needs to be added to the CoR, just let me know what tab and section in said tab.",24/03/2016 08:17:29,"Thanks for your all hard work everyone! I hope that Everyone can learn Japanese using that. So　みんなさんがんばろう。

I got a question / big request but here we go  : ISBN 1568364075 (that version that we have is great, but have hdeous Romaji) or 1568364083, they are quite big, but amazing.  1568365594 also would be welcome.

I heard that  1568365594 is also real good, onomatopoieas are also cool like  1568364865. The graded readers seens great, but I know they are quite expensive and come with audio cd.

also 4789009181 seens good for the ones that called themselves advanced."
Contain your autism. Probably already fixed by now anyway.,24/03/2016 17:21:47,"You missed a third person s pretty early on, something with path to goals

HE SHE IT DAS S MUSS MIT, do you even?"
,24/03/2016 18:18:35,"I wrote a new introduction because your current one is pretty long and kinda bloated. Like, asking the reader if they want to learn Japanese in a Japanese guide is silly even as an ice breaker. I tried tightening the whole thing up, introductions gotta be tight


Introduction

Traveling to Japan to talk with the natives, watching raw anime or reading manga and novels before they’re translated all require the same fundamental skills and knowledge. While this guide is not going to be enough to teach you these things, it will give you an idea of how go about acquiring them.

With the basics covered in this guide you can get started with reading the written language, which you can then use to gain a more thorough understanding of Japanese. That being said, you should at no point hesitate to practice listening or speaking if you wish to do so. This guide only aims to introduce you to the Japanese language and show you how to get started, the rest is up to you."
"The guy who uploaded a lot of the recently added manga/LNs deleted all of the stuff he uploaded. If people have backups, they can upload them and submit them, but unfortunately this isn't a quick fix and there isn't much I can do about it.",24/03/2016 22:56:18,"Gunslinger Girl and MOB links from CoR don't work.
Thanks for all the resources, though, I really appreciate it."
Added. Thank you.,25/03/2016 08:36:51,"https://mega.nz/#F!3wQyURRa!KYtISRHjW6-QVlozrdFyJA
3rd Year Kimengumi"
"Added. Thanks. If anyone feels like renaming/reorganizing/removing the excess files to make it like the other manga they can, but for now I put ""Nyaa mirror DL"" as a notice.",25/03/2016 13:05:15,"I got Gunslinger Girl from nyaa, I went ahead an uploaded it to mega:
https://mega.nz/#!jYNjlT4K!8wYXypb0_BoZoN0fiKc4rO7ILcFDgE7A8Qvz7ecHwtM

I went through and just looked at a page from the first volume, the middle, and last volume, and found nothing wrong with the quality personally."
"Wow, awesome. Thanks a lot for re-uploading this, anon.

Does anyone have a backup for the list spreadsheet?",26/03/2016 08:05:15,"As I said I would yesterday, I reuploaded the ""AWZ3/EPUB/MOBI Collection"" to mega.

mega:///#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw"
"Added. Thank you.

If anyone has a backup for all of the note images (the deck won't have all of them since some cards have text instead), the version of the deck without media, and the most recent version of the PDF index and wants to upload them and this into one mega link to restore it to how it was before, do that and submit it.",26/03/2016 14:55:53,"Someone posted this a couple threads back, it appears to be a recent version of the DoJG deck.
https://mega.nz/#!elIAFB7Y!EdotWUqLZYKParHzRW1ol-2hBEAE42r8Y0HI_ap1gFk"
Swapped out the link and added the LNs back. Thanks for uploading.,26/03/2016 15:45:55,"Here's a folder with the deck, no media deck, index, and note images:
https://mega.nz/#F!Pgx1FaSZ!Ux3evBUKrAOlLrkVt4zgkw

And an anon re-uploaded these LNs:
この素晴らしい世界に祝福を！Vol 1-8
https://mega.nz/#!ulQ3ARyD!eUtsIpdrPFW6ZG9VvXgFOkj_2O5p-x4VaQy6-OOPgvQ
この素晴らしい世界に祝福を！スピンオフ Vol 1-3
https://mega.nz/#!LpYiBYBD!2Slck0nuHXFAr541yRIzs7pNdnGGlq2I5r5PECjmQsM
ノーゲーム・ノーライフ Vol 1-7
https://mega.nz/#!75gnjT5K!coVO0ewCutl8PLUpmBrJwmGyvGYbTpp-6wAQxmzNPCM"
Thanks for the links. I restored their entries in the CoR with them.,27/03/2016 12:57:43,"https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!KklHhIDC
Happy Go Lily

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!Ls1xCQiZ
New Game!

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!eptCkLjD
Kuro

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!DkEVnbaD
Wednesday
	
https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!T91hxTiD
Sketchbook

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!G9MDgDbD
Electric District's Book Store

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!Sk8nCAwI
Hitler's Son

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!HpUjAbiY
Magical Chef Girl Shizuru

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!rwElECxZ
Meina with Owl

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!qoU2VCBD
Encouragement of Climb

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!S5k3gL7D
Magical Uniform Kiina

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!atEkHKZL
Oomuro Family

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!2pNynBgC
Welcome to Miyata Bookstore!

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!7wdX1QSS
Rooftop Blooming Flower

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!K1dVRYxJ
Dansan Joshi

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!WhN31JoB
Meeting Up at the Male Toilet

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!T80zACaa
The Shape of Voice

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!y48hkZyQ
Denpa Onna to Seishun Otoko

https://mega.nz/#F!Dwd2TJIZ!p3o66BOnFLbkrFHFHldjrw!f5kRjaIS
Dusk Maiden of Amnesia"
"This honestly isn't really the sort of thing to be sending to the feedback form considering that domain/site doesn't really have anything to do with the main site other than serving as a link shortener and I'm not in contact with the guy who set it up, but I don't really think it's that big of a deal. It was never really a big deal before either from what I've seen. If the guy who runs the bitlasers domain wants to buy a new domain for it and gets in contact with me with proof it's him and not some random anon (lskj3rengwp2@gmail.com), then sure, but I don't think most people care and I don't trust that guy who's getting angry over it enough to let him do it since he could just change it to something malicious if he gets mad at DJT.",27/03/2016 21:34:33,"Hi, 
a question for the website owner: 
could you please move the website from a random 
business selling laser pointers to a root domain page? 
At the moment djt.moe is available to be registered
it would be perfect to have the front page hosted at 
djt.moe, or anywhere really
with the other pages using that root base
the buyfag thread uses http://www.buyfags.moe to 
host their  website and guide for example

It is really unsightly to have the djt site attached to 
an unrelated business.
If not I could look into setting this up myself and 
give the current owner access to it or something

Thank you for reading and passing on the message,
anonymous"
"That's nifty. I guess it's something to direct people to when we get the weekly ""rip namasensei"" post. I put it in the ネット section of the 教本 tab even if the videos themselves are more of a motivational thing.",27/03/2016 23:02:25,"This link contains all of Namasensei's videos (as far as I know), if you wanted to add it to the CoR.
https://mega.nz/#!GlRjEShL!zeuPsuEtOLycwU_MPbMlcDgRYJ0TpxXo1v8esm2bzjs

Also, fuck the guy below me he's obviously just that one autist. Thanks for maintaining the CoR."
"We used to and then the thread talked about wanting a shorter link but link shorteners weren't working, so that guy made a re-direct for us. Not really a big deal.

Quit using the feedback form for this please, it's not something I or the google site really has anything to do with.",28/03/2016 00:56:16,Why is a google page being redirected through a website selling high powered lazer pointers? Why not use the google page as it is instead of some suspect online merchant?
"Nothing to do with page maintainer; that's just how people used to post the link to the page (look up link shortening).

Anyway, seems that the issue is already resolved.",28/03/2016 08:10:35,"Can you please do something about the site main page? It is a google docs sheet but it is being posted in the daily thread as a commercial domain that automatically redirects to the google docs main page for the site. It is both redundant and has nothing to do with the site. 

The daily Japanese thread on /int/ still uses the google link for their OP, so the issue of having a shorter link for ease is a non-arugment. "
,28/03/2016 08:13:21,"A question for the CoR maintainer: 
If you are maintaining the CoR, where are there so many links that lead to dead pages? 
Feedback: maybe it is time to give it to some other anons who aren't so incompetent. 

Thank you for passing this one to the CoR maintainer. "
"it's not a forum but feedback page, fam",28/03/2016 17:00:10,"Dear giver (singular) of the feedback items regarding the link shortener and the deleted CoR items:

You are extremely delusional and nobody in the community will fall your your silly delusions."
"Compiled all of those submissions into http://pastebin.com/7kDZkegR

All of the links are dead. If those were genuine submissions, then go ahead and send an unlisted pastebin with a set of working links and I can add them.",28/03/2016 20:31:32,"html:
戦う司書シリーズ	https://mega.nz/#!fBxe5FTo4Lm3oujSRmgZ8eR3W8LNtx
"
Added. Thanks.,30/03/2016 13:04:13,"しゅごキャラ！
少女漫画
https://mega.nz/#F!QVoyWI6a!QSvKwj1c6EcIFI9CPIoEwQ"
Entry restored. Thanks for re-uploading.,30/03/2016 13:24:25,"1年3組にゃんぱち先生
漫画
https://mega.nz/#!QYx0wJIS!Tb16BHcT-xVybHrdonlchhn41nil8eUpkJVoQpr4PeI"
"Replaced with this link. Thanks for re-uploading.

Also deleted the extra dead ゆるゆり entry and renamed the other one's English name to ""Yuru Yuri"".",30/03/2016 13:51:43,"I reuploaded Gunslinger Girl in the standard CoR format.
https://mega.nz/#F!GkYmwJpB!eNwMhhtSuaiyaDm6I3Y1VQ
Also, there are two ゆるゆり entries in the CoR, one dead and one alive, with different English names. Perhaps the active name should be changed to Yuru Yuri since no one calls it Happy Go Lily."
Entry restored. Thanks for re-uploading.,30/03/2016 15:02:36,"ちょびっツ
漫画
https://mega.nz/#F!IVISxRZQ!S8EyvbkUb07LYn3TaPRVfg"
Entry restored. Thanks for re-uploading.,30/03/2016 16:37:29,"ポケットモンスタースペシャル
漫画
https://mega.nz/#F!QYoAjSAa!248J79PunD4TE2S0vZf2_A"
Added. Thanks.,30/03/2016 17:34:55,"ペットショップ オブ ホラーズ
少女漫画
https://mega.nz/#F!9NwSmR6J!2NrpERMFLGCcG2bcXIAZYA"
Added. Thanks.,30/03/2016 21:33:53,"R.O.D -READ OR DIE-
https://mega.nz/#F!IJ5VUSKC!2hC-ojwV6OHmep6Ye15p9g

時をかける少女
https://mega.nz/#F!xMx1VQjZ!l3LPDiMAz759kOMYyeztLw

彼氏彼女の事情
https://mega.nz/#F!VVpQQZLA!GY0RUmlf7LpGqoZ0HzKXmQ

花より男子
https://mega.nz/#F!ZBZHyAbJ!eiTMNuIfgqPtQMChQ5Huqg

花ざかりの君たちへ
https://mega.nz/#F!dFIBFLyT!U5sAYKKefqW1CDBj6qXbyw"
"出来ない
You can't learn Japanese.

If you're being serious, then read the whole guide before sending feedback on it. It already links to a chart as an example and links to wikipedia articles for both hiragana and katakana containing explanations and charts. Googling ""hiragana chart"" should also give good results if you're looking for a hiragana chart. Tae Kim has charts and explanations too.

If the one maintaining the guide has further comments he can edit this response.",02/04/2016 00:17:29,"the fuck you dont even have a simple hiragana resource or really fucking simple steps for beginners?

like your entire fucking ""guide"" is just explaining shit, with nothing there. 

your fucking guide should be ""start here- learn this chart before you do anything"" and YOU SHOULD HAVE THE FUCKING CHART IN THE GUIDE OR A LINK TO IT
it shouldnt be you fucking ""OH UH... GO LOOK AROUND FOR A CHART""

fucking useless"
,02/04/2016 04:03:22,"http://www.surfmusic.de/country/japan.html

Sick link for japanese radio, you can add it to the links for listening practice I guess "
same. how do i learned Katanaganas?,02/04/2016 07:27:16,im looking at the guide and i dont get it
"I put something in the upper left of the 漫画 tab (the default tab), but if they don't notice the tabs at the bottom they might not notice that either. If guide-anon sees this and wants to drop a mention about in the guide he will.",06/04/2016 15:41:15,"A lot of people miss the tabs on the bottom of the CoR. I think these should be indicated in some way, either with a note on the CoR or a mention in the guide."
Added / restored. Thank you.,20/04/2016 17:47:05,"ケロロ軍曹
https://mega.nz/#F!QdRkhCxC!tCQz6mD82AjBBtRclftZBg

のだめカンタービレ
https://mega.nz/#F!NZpDVRZB!eZOnl0G_d9lRZz3kUDkc8A

ロックマン
https://mega.nz/#F!lMAADTIB!1j0r9uTniiRrsaeZs7GPlw

食戟のソーマ
https://mega.nz/#F!0Zx20IjS!rDQ7c_QggX0pk1paRJxyLQ

中華一番!
https://mega.nz/#F!IJgz1LKB!0nKVbsqC-32chvRGMAI-_w

駅弁ひとり旅
https://mega.nz/#F!hJhBVBob!2LsdnFZ-NSst558g7yn32w"
"I agree tbtqhwy fampai
",07/05/2016 01:37:23,The guide is a piece of shit
Updated the link. Thanks.,10/05/2016 03:23:39,"The current anon core 5k in the CoR has thrashed card ordering. Fixed copy:

https://mega.nz/#!iIk0BKbY!3VAygAPWyxoD1oZmyIe8m_lNNBnuz9YkjHDl_dEho_A"
"It's in there, it's just in the guide resources doc last I checked instead of the main guide doc. If guide anon doesn't see this, you can email him directly or leave a comment/suggestion on the guide itself if you want to try to get him to implement it directly into the main guide itself.

I'll add that HTML to the two that are in the pastebin currently, thanks.",14/05/2016 09:03:33,"Didn't see this in the guide, it's a tutorial on how to set up a text hooking window in Firefox: http://pastebin.com/raw/DgZ84qwk

There's also this mod of it which includes an undo button and character/line counter: http://pastebin.com/raw/HxjV6YrB"
,21/05/2016 15:57:26,The guide is very bad. Please delete it or make a new one. Thanks.
"Good suggestion. I've added it under the guide link for now, but if there's a more suitable name or position on the page for it (maybe below the CoR link would be better?), feel free to suggest it.",05/06/2016 07:52:09,"I think the new resources page should be linked directly from the main page.
https://docs.google.com/document/d/1hUbYaadO9wSSPx8eknoV9RA0HoBucaZrF2HXvs_bp0g/edit?usp=drive_web"
